step 10
table fn6
fn6_filial;fn6_codbx;fn6_cbase;fn6_citem;fn6_dtbaix;fn6_qtdatu;fn6_qtdbx;fn6_percbx;fn6_motivo;fn6_deprec;fn6_geranf;fn6_numnf;fn6_serie;fn6_lote;fn6_itemnf;fn6_status;fn6_filori;fn6_client;fn6_loja;fn6_cndpag;fn6_tessai;fn6_nature;fn6_socurr;fn6_valnf;fn6_sdoc;d_e_l_e_t_;r_e_c_n_o_;r_e_c_d_e_l_

102032;Сп-0013   ;OC-0026   ;1;20191001;1;0.3;30;9;0;2;        ;   ;25;    ;1;102032;      ;  ;   ;   ;          ;1;0;   ; ;1;0

table fn7
fn7_filial;fn7_codbx;fn7_item;fn7_cbase;fn7_citem;fn7_tipo;fn7_tpsald;fn7_seq;fn7_moeda;fn7_seqrea;fn7_motivo;fn7_dtbaix;fn7_vlatu;fn7_vldepr;fn7_vlresi;fn7_percbx;fn7_vlbaix;fn7_status;fn7_filori;d_e_l_e_t_;r_e_c_n_o_;r_e_c_d_e_l_

102032;Сп-0013   ;1;OC-0026   ;1;1;N;4;1;  ;9;20191001;100000.0;0;30000.0;30;30000.0;1;102032; ;1;0

102032;Сп-0013   ;2;OC-0026   ;1;1;N;4;2;  ;9;20191001;1503.75;0;451.13;30;451.13;1;102032; ;2;0

102032;Сп-0013   ;3;OC-0026   ;1;1;N;4;3;  ;9;20191001;1368.67;0;410.6;30;410.6;1;102032; ;3;0

102032;Сп-0013   ;4;OC-0026   ;1;1;N;4;4;  ;9;20191001;100000.0;0;30000.0;30;30000.0;1;102032; ;4;0

102032;Сп-0013   ;5;OC-0026   ;1;1;N;4;5;  ;9;20191001;100000.0;0;30000.0;30;30000.0;1;102032; ;5;0

table fn8
fn8_filial;fn8_lote;fn8_motivo;fn8_dtbaix;fn8_deprec;fn8_status;fn8_sdoc;d_e_l_e_t_;r_e_c_n_o_;r_e_c_d_e_l_

102032;25;9;20191001;0;1;   ; ;1;0

table sn3
